ID;Nombre;Descripción;Marca;Modelo;Año;Precio;Stock;Categoría;Estado;"Fecha Creación"
49;"Aceite motor 5W-30 sintético 1L";"Lubricante sintético API SP, protección hasta 10,000 km.";"Mobil 1";Universal;2024;11.90;100;Motor;Activo;"2025-12-11 11:04:39"
52;"Alternador 110A";"Alternador reconstruido con prueba de banco y garantía 6 meses.";Bosch;"Nissan Sentra";2012;189.00;5;Eléctrico;Activo;"2025-12-11 11:04:39"
55;"Amortiguador trasero gas";"Amortiguador de gas presurizado para eje trasero, par recomendado.";KYB;"Kia Rio";2017;58.90;14;Suspensión;Activo;"2025-12-11 11:04:39"
44;"Batería 12V 65Ah libre de mantenimiento";"Batería sellada libre de mantenimiento, garantía 12 meses.";ACDelco;Universal;2022;119.00;12;Motor;Activo;"2025-12-11 11:04:39"
54;"Bobina de encendido";"Bobina individual por cilindro; voltaje 12V.";Delphi;"Kia Picanto";2014;39.90;15;Eléctrico;Activo;"2025-12-11 11:04:39"
47;"Bomba de agua";"Bomba con junta incluida; recomienda cambiar con la correa.";AISIN;"Mazda 3";2014;74.95;9;Motor;Activo;"2025-12-11 11:04:39"
45;"Bujía Iridium IK20";"Bujía iridio paso 1.1 mm, mejora encendido y consumo.";Denso;"Honda Civic";2015;12.75;80;Motor;Activo;"2025-12-11 11:04:39"
51;"Compresor de A/C 7SEU17C";"Compresor nuevo; requiere aceite PAG y vacío del sistema.";Denso;"Audi A4";2012;369.00;2;Motor;Activo;"2025-12-11 11:04:39"
46;"Correa de tiempo 141 dientes";"Correa de distribución reforzada para motor 1.6L.";Gates;"Hyundai Accent";2013;32.40;20;Motor;Activo;"2025-12-11 11:04:39"
42;"Disco de freno ventilado 256mm";"Disco ventilado alta resistencia; se recomienda cambio por par.";TRW;"Suzuki Swift";2018;42.00;10;Frenos;Activo;"2025-12-11 11:04:39"
57;"Faro delantero derecho";"Faro halógeno con regulación eléctrica; DOT/SAE.";Depo;"Ford Ranger";2019;155.00;6;Carrocería;Activo;"2025-12-11 11:04:39"
43;"Filtro de aceite 90915-YZZF2";"Filtro de aceite OEM equivalente, rosca M20x1.5.";Toyota;Hilux;2018;8.50;55;Motor;Activo;"2025-12-11 11:04:39"
58;"Juego de limpiaparabrisas 24""/16""";"Escobillas aerotwin, adaptadores múltiples incluidos.";Bosch;Universal;2023;17.50;55;Carrocería;Activo;"2025-12-11 11:04:39"
56;"Kit de embrague completo";"Incluye prensa, disco y collarín; no incluye volante bimasa.";Sachs;"Volkswagen Jetta";2013;245.00;4;Transmisión;Activo;"2025-12-11 11:04:39"
41;"Pastillas de freno delanteras";"Juego de pastillas cerámicas para disco delantero, libre de asbesto.";Toyota;Corolla;2016;29.90;24;Frenos;Activo;"2025-12-11 11:04:39"
48;"Radiador aluminio/plástico";"Radiador con núcleo de aluminio; incluye tapón y drenaje.";TYC;"Chevrolet Aveo";2011;129.50;7;Motor;Activo;"2025-12-11 11:04:39"
53;"Sensor de oxígeno (O2) upstream";"Sensor precatalizador de 4 cables, conector directo.";NTK;"Toyota Yaris";2012;69.00;10;Eléctrico;Activo;"2025-12-11 11:04:39"
50;"Termostato 82°C";"Termostato calibrado a 82°C con empaque.";Motorad;"Nissan Versa";2015;18.60;22;Motor;Activo;"2025-12-11 11:04:39"
